id,acc,pre,rec,f1s,iou
206,0.959917,0.934211,0.946667,0.940397,0.887500
207,1.000000,1.000000,1.000000,1.000000,1.000000
208,0.984388,0.951724,0.996390,0.973545,0.948454
209,0.909670,0.922747,0.853175,0.886598,0.796296
210,0.961781,0.865942,0.991701,0.924565,0.859712
211,0.961521,0.931818,0.957198,0.944338,0.894545
212,0.963917,0.973607,0.948571,0.960926,0.924791
213,0.946094,0.855372,0.953917,0.901961,0.821429
214,0.669762,0.551852,0.570881,0.561205,0.390052
215,0.611476,0.417266,0.513274,0.460317,0.298969
216,0.618676,0.558405,0.583333,0.570597,0.399185
217,0.964010,1.000000,0.928021,0.962667,0.928021
